rowId,eamsAppId,eamsAppName,eamsAppAcronym,serviceName,projectKeyJira,gitCloneUrlHttpsCI,gitCloneUrlHttpsCD,gitBranchNameCD,lastDeployDateTimeProd,appHostingEnv,cicdTool,advisoryTool,cdsidSpoc,cdsidLL6,cdsidLL5
2303fe50-faed-4a49-b6be-b8c90da88a3c,23456,Real-time Traffic,RTT,RTT,SIMBA,https://github.ford.com/CV-LBS-OTA/simba-hazard-data.git,https://github.ford.com/CV-LBS-OTA/simba-hazard-data.git,dev,2023-07-01T13:41:56.789Z,GCP - Cloudrun,Jenkins,FAM,psasiku2,psarava6,tpinto3
49f20fb7-7c1c-474f-b360-ee8e3eae8d95,54557,Downstream Data Management,DDM,ddm,BEAGLET,"https://github.ford.com/CV-LBS-OTA/ota-downstream-data-management.git, https://github.ford.com/CV-LBS-OTA/CVPP-OTA-UI-DDM.git",https://github.ford.com/CV-LBS-OTA/ota-downstream-data-management.git,"gcp-main,gcp-main",2022-12-31T13:41:56.789Z,GCP - Cloudrun,"Jenkins, Cloud build",FAM,baravint,psarava6,tpinto3
e3ef63b8-47cf-4ba8-b7b4-0d2af8bea2cf,53273,Developer Marketplace,DMARK,DM,DMARK,https://github.ford.com/Platform-Enablement/digital-marketplace-authservice.git,https://github.ford.com/Platform-Enablement/digital-marketplace-authservice.git,main,2023-06-15T13:41:56.789Z,GCP - Cloudrun,Tekton,Other,mvenka80,rdas9,vvinod3
8d5268af-26b8-4b0c-a4f4-a901f6fc8f75,56259,Cloud Platform Engg DORA,CPEDORA,cpedora,cpedora,"https://github.ford.com/Platform-Enablement/gcp-cpedora-terraform.git, https://github.ford.com/Platform-Enablement/cpedora.git",https://github.ford.com/Platform-Enablement/gcp-cpedora-terraform.git,master,2023-06-11T13:41:56.789Z,GCP - Cloudrun,Tekton,Other,mvenka80,rdas9,vvinod3
